Round,.metric,.estimator,.estimate,race_time_milliseconds,race_time_mins,race_time_hrs
1,rmse,standard,8375.861431418281,5769075.9424083745,96.15126570680624,1.6025210951134374
2,rmse,standard,9510.709155834717,5582419.505014785,93.04032508357975,1.5506720847263291
3,rmse,standard,6673.1884200037075,5419855.582693257,90.33092637822095,1.5055154396370158
4,rmse,standard,20091.803338237452,5573133.1443131175,92.88555240521862,1.5480925400869772
5,rmse,standard,7971.495494301229,5781145.970709032,96.35243284515055,1.605873880752509
6,rmse,standard,10136.707254054098,5890199.8693596935,98.16999782266156,1.6361666303776927
7,rmse,standard,9306.778495219323,6600948.162959946,110.0158027159991,1.8335967119333185
8,rmse,standard,21107.604885559354,6260750.090158947,104.34583483598244,1.7390972472663742
9,rmse,standard,8214.98958247193,5590874.964417736,93.18124940696227,1.5530208234493712
10,rmse,standard,16304.509739004188,5257128.191327849,87.61880318879749,1.4603133864799582
11,rmse,standard,9616.034854390206,5141668.830570766,85.69448050951276,1.4282413418252127
12,rmse,standard,6118.03552717556,5297863.424758401,88.29772374597334,1.4716287290995558
13,rmse,standard,12227.524447008635,6111503.563106238,101.8583927184373,1.6976398786406217
14,rmse,standard,15949.531024319072,5128107.247582967,85.4684541263828,1.424474235439713
15,rmse,standard,4422.3183698791745,5448123.855245647,90.80206425409412,1.5133677375682353
16,rmse,standard,13882.715696265626,4923392.050539424,82.05653417565706,1.3676089029276177
17,rmse,standard,20984.127990271645,7218638.252214946,120.31063753691576,2.0051772922819295
18,rmse,standard,17181.554774241507,5644982.276573868,94.08303794289779,1.56805063238163
19,rmse,standard,8702.670837087631,5872973.20111644,97.882886685274,1.6313814447545667
20,rmse,standard,7484.148443760064,6007262.317424683,100.12103862374471,1.668683977062412
21,rmse,standard,16924.85817833417,6323912.53223712,105.398542203952,1.7566423700658667
22,rmse,standard,7360.841197453837,6188782.7925490895,103.14637987581816,1.7191063312636359
