race_time_milliseconds,race_time_mins,race_time_hrs,Round
5707675.719807572,95.12792866345953,1.5854654777243256,1
5780951.983837948,96.34919973063246,1.6058199955105412,2
5445972.994215638,90.76621657026064,1.5127702761710107,3
5876762.917951456,97.94604863252427,1.6324341438754044,4
5471888.5697068395,91.19814282844733,1.5199690471407887,5
5978819.062660817,99.64698437768028,1.660783072961338,6
6071794.547505507,101.19657579175845,1.6866095965293075,7
6014686.7980091935,100.24477996681989,1.6707463327803316,8
5648221.222688204,94.13702037813673,1.5689503396356121,9
5110633.826123097,85.17723043538496,1.4196205072564159,10
5100811.165938389,85.01351943230648,1.4168919905384412,11
5370382.669192945,89.50637781988242,1.4917729636647068,12
5992440.326711419,99.87400544519032,1.6645667574198386,13
5161245.5100256475,86.02075850042746,1.4336793083404575,14
5582729.044486703,93.04548407477839,1.550758067912973,15
4766896.347156736,79.44827245261227,1.3241378742102046,16
7248806.085180297,120.81343475300494,2.013557245883416,17
5569066.909853459,92.817781830891,1.5469630305148498,18
5822943.153059048,97.04905255098413,1.6174842091830688,19
6073259.835079543,101.22099725132573,1.6870166208554287,20
5666891.002876443,94.44818338127405,1.5741363896879008,21
6244036.243402047,104.06727072336746,1.734454512056124,22
