race_time_milliseconds,race_time_mins,race_time_hrs,Round
5738210.8600095855,95.63684766682643,1.5939474611137738,1
5622175.770531167,93.70292950885279,1.561715491814213,2
5420817.870235834,90.34696450393056,1.505782741732176,3
5620599.061498488,93.6766510249748,1.5612775170829134,4
5407198.847341258,90.11998078902097,1.501999679817016,5
5905453.676805314,98.42422794675522,1.640403799112587,6
6487229.47713308,108.12049128555134,1.8020081880925223,7
5906095.735465392,98.43492892442319,1.6405821487403864,8
5785910.743143856,96.43184571906426,1.607197428651071,9
5250462.624203223,87.50771040338705,1.4584618400564509,10
5121322.99561236,85.355383260206,1.4225897210034333,11
5298616.276274427,88.31027127124045,1.471837854520674,12
6116358.912783858,101.9393152130643,1.698988586884405,13
5148645.02962614,85.810750493769,1.43017917489615,14
5564107.706883282,92.73512844805471,1.5455854741342452,15
4750551.836032445,79.17586393387408,1.3195977322312347,16
7109979.804198382,118.49966340330637,1.9749943900551061,17
5265494.537087832,87.75824228479719,1.4626373714132865,18
5961578.076751326,99.3596346125221,1.6559939102087018,19
5930998.981005239,98.84998301675398,1.6474997169458998,20
5751299.444850533,95.8549907475089,1.597583179125148,21
6215698.1395447245,103.59496899241208,1.7265828165402013,22
