race_time_milliseconds,race_time_mins,race_time_hrs,Round
5723902.238417312,95.39837064028853,1.5899728440048089,1
5750114.916823662,95.8352486137277,1.5972541435621284,2
5534399.120988097,92.23998534980161,1.5373330891633603,3
5510773.688412723,91.84622814021205,1.5307704690035342,4
5226992.076253263,87.11653460422106,1.4519422434036842,5
5783468.102922168,96.3911350487028,1.6065189174783798,6
6600763.68882749,110.01272814712485,1.8335454691187474,7
6062587.275443364,101.0431212573894,1.68405202095649,8
5764976.400965072,96.08294001608454,1.601382333601409,9
4994368.891211308,83.23948152018846,1.387324692003141,10
5141134.578084412,85.68557630140687,1.428092938356781,11
5407123.472493885,90.11872454156475,1.5019787423594124,12
6192576.644729367,103.20961074548946,1.7201601790914909,13
5188875.275348761,86.48125458914602,1.4413542431524335,14
5519206.850319157,91.98678083865262,1.5331130139775437,15
4739267.368842803,78.98778948071339,1.3164631580118897,16
7166579.722810646,119.44299538017742,1.9907165896696237,17
5324991.034184605,88.74985056974342,1.4791641761623902,18
6066471.5703665875,101.10785950610979,1.6851309917684965,19
6027908.054505121,100.46513424175201,1.6744189040292004,20
5824740.964415636,97.07901607359393,1.6179836012265656,21
6282750.4860254675,104.71250810042446,1.7452084683404077,22
