race_time_milliseconds,race_time_mins,race_time_hrs,Round
5723730.619651169,95.39551032751947,1.5899251721253247,1
5629096.212060791,93.81827020101319,1.5636378366835533,2
5453413.841269051,90.8902306878175,1.5148371781302918,3
5549544.596922039,92.49240994870065,1.5415401658116774,4
5734329.350564658,95.5721558427443,1.5928692640457383,5
5895058.710619737,98.25097851032896,1.6375163085054827,6
6429319.30483143,107.1553217471905,1.7859220291198417,7
5984275.0399129465,99.73791733188244,1.6622986221980407,8
5558673.329642072,92.64455549403453,1.5440759249005755,9
5169029.33632203,86.1504889387005,1.435841482311675,10
5153875.414593137,85.89792357655229,1.4316320596092047,11
5329263.4796021525,88.82105799336921,1.4803509665561534,12
6077632.735194161,101.29387891990268,1.6882313153317112,13
5222769.353367258,87.0461558894543,1.4507692648242383,14
5521400.129562312,92.0233354927052,1.5337222582117533,15
4759964.246121243,79.33273743535405,1.3222122905892342,16
7218264.235740677,120.30440392901129,2.005073398816855,17
5288135.790200671,88.13559650334452,1.4689266083890753,18
5952612.426234793,99.21020710391322,1.653503451731887,19
6060652.916935707,101.01088194892846,1.6835146991488077,20
5912897.947377647,98.54829912296078,1.6424716520493465,21
6211084.615529821,103.51807692549703,1.725301282091617,22
